id,origin_city,origin_state,origin_country,origin_zip_code,dest_city,dest_state,dest_country,dest_zip_code,rate_type,pallet,weight,commodity,user_id_requested,rate,carrier,carrier_name,date_requested,date_completed,user_id_completed,note_completed,facility_code,note_request,ship_date,lane_or_quote,ltl_flags,carrier_active
1,Newark,NJ,,,Memphis,TN,US,38101,LTL,,7112,,,382,8,Northwind Trucking,2023-03-29 23:06:00,,,,TX-DAL,,,lane,,1
2,Kansas City,MO,US,,Louisville,KY,,,Van,,,,,2352,,,2023-03-15 10:06:00,2023-03-15 10:32:00,111,,,,,lane,,1
3,Atlanta,GA,,,Pittsburgh,PA,US,,LTL Haz,,6020,,,723,30,Silver Spur Carriers,2022-05-06 07:55:00,2022-05-06 09:08:00,136,,NJ-NWK,,2022-05-12,lane,,1
4,Phoenix,AZ,US,,Dallas,TX,,,Van,,47717,,,1612,,,2025-04-01 12:17:00,2025-04-01 16:12:00,165,,TX-DAL,,,quote,,0
5,Columbus,OH,US,,Albuquerque,NM,,,Van,,,,,1014,15,Meridian Trucking,2022-01-13 03:09:00,,,,,,,lane,,1
6,Newark,NJ,US,,Miami,FL,,,Van,,,,,1813,21,Skyline Logistics,2021-04-12 23:56:00,,,,,,,lane,,1
7,Phoenix,AZ,US,,Oklahoma City,OK,US,,Van,,46849,,,2368,,,2023-11-09 09:15:00,2023-11-09 13:01:00,165,,NJ-NWK,,,lane,,1
8,Detroit,MI,,48201,Orlando,FL,,32801,Van,,16378,Beverages,,1958,8,Northwind Trucking,2024-10-25 14:57:00,,,,,,2024-10-29,quote,,1
9,Columbus,OH,,43215,Omaha,NE,US,,Van,,,,66,2212,,,2025-03-11 13:12:00,2025-03-11 16:02:00,130,,CA-LB,,2025-03-18,lane,,1
10,Charlotte,NC,,28201,Houston,TX,US,,Van,,,Industrial Machinery,,2567,,,2025-05-28 03:03:00,,,,,,2025-05-29,quote,,0
11,Miami,FL,,33101,Louisville,KY,US,,Dump,,18832,,,2331,,,2026-03-10 17:42:00,,,,OH-COL,,2026-03-15,quote,,1
12,Houston,TX,US,,Charlotte,NC,,28201,Van,,,,,1917,9,Summit Trail Freight,2025-07-11 07:37:00,,,,,,2025-07-18,lane,,1
13,Birmingham,AL,,,Buffalo,NY,,,Van,,,,,2482,6,Sentinel Logistics,2022-04-15 06:32:00,,,,,,,quote,,0
14,Long Beach,CA,US,90802,Columbus,OH,US,,Van,,32300,,133,1809,30,Silver Spur Carriers,2022-07-22 17:09:00,,,,CA-LB,,2022-08-03,lane,,1
15,Louisville,KY,US,40201,Boise,ID,US,,Van,,23352,,,975,30,Silver Spur Carriers,2025-10-08 22:57:00,2025-10-08 23:08:00,233,,,,2025-10-17,lane,,1
16,Buffalo,NY,US,,Indianapolis,IN,,46204,Van,,,,,1641,,,2025-12-20 05:56:00,,,,TX-DAL,,2025-12-26,quote,,1
17,Orlando,FL,,32801,Pittsburgh,PA,US,,Van,,41193,,,2123,,,2023-02-01 10:17:00,,,,GA-ATL,,,lane,,1
18,Richmond,VA,,,Albuquerque,NM,US,,Van,,,,,2194,,,2024-08-05 08:02:00,,,,,,2024-08-18,lane,,1
19,Orlando,FL,US,,Milwaukee,WI,,53201,Van,10,,,,2525,,,2023-07-30 04:12:00,,,,,,,lane,,1
20,Albuquerque,NM,,,New Orleans,LA,US,,LTL,,,Mixed Load,,529,26,Old Glory Freight,2022-05-21 16:42:00,,,,CA-LB,,2022-06-04,lane,,1
21,Minneapolis,MN,,,Charlotte,NC,US,,Van,,,Auto Parts,,990,28,Heartland Express Co.,2021-05-12 03:49:00,,,,,,2021-05-24,lane,,1
22,Albuquerque,NM,US,,Louisville,KY,US,,Van,,46758,,,2028,3,Beacon Transport,2022-11-23 15:28:00,,,,GA-ATL,,2022-12-04,lane,,1
23,Milwaukee,WI,,,Denver,CO,US,,Van,,39928,,,1758,,,2022-03-10 13:24:00,,,,,,2022-03-22,lane,,1
24,Jacksonville,FL,US,,Louisville,KY,US,40201,Van,,,,,2665,,,2023-10-01 21:51:00,,,,,,2023-10-09,lane,,1
25,Birmingham,AL,US,35201,Phoenix,AZ,US,85001,Van,,,Consumer Goods,,2699,21,Skyline Logistics,2023-12-02 13:16:00,,,,IL-MAIN,,2023-12-14,quote,,1
26,Cleveland,OH,US,44101,Birmingham,AL,,,Dump,,,,,3163,1,Apex Freightways,2023-11-17 19:38:00,,,,,,2023-11-30,lane,,1
27,Orlando,FL,,,Richmond,VA,,,Van,,,,,1514,,,2024-07-24 01:22:00,,,,GA-ATL,,2024-07-26,quote,,1
28,Reno,NV,,,New Orleans,LA,US,,Van,,44543,,,1338,,,2025-01-17 08:20:00,,,,,,,lane,,0
29,Jacksonville,FL,US,,Boise,ID,,,Van,,,,,2062,,,2023-01-27 07:46:00,,,,TX-DAL,,2023-01-31,lane,,0
30,Boise,ID,US,83701,Denver,CO,US,80201,Van,,,,,2142,24,Lighthouse Logistics,2023-06-20 08:14:00,2023-06-20 09:05:00,100,,,,2023-06-29,lane,,1
31,Chicago,IL,US,,Reno,NV,,,Van,,,,,1084,10,Tideland Logistics,2025-12-15 17:18:00,,,,,,2025-12-29,lane,,1
32,Dallas,TX,US,,Indianapolis,IN,US,,Van,,,,,2296,30,Silver Spur Carriers,2025-10-16 02:15:00,2025-10-16 05:32:00,126,,,,2025-10-29,quote,,1
33,Cleveland,OH,,,Nashville,TN,US,,Dump,,30170,,,1702,28,Heartland Express Co.,2023-04-28 17:04:00,2023-04-28 18:50:00,135,,,,2023-05-06,lane,,1
34,Indianapolis,IN,US,,Jacksonville,FL,US,32099,Van,,,,,1743,13,Frontier Hauling Co.,2022-12-07 09:38:00,,,,,,2022-12-12,lane,,1
35,Omaha,NE,US,,Des Moines,IA,US,50301,Van,,,,125,1400,,,2024-11-18 08:36:00,2024-11-18 11:51:00,64,,,,2024-11-29,quote,,1
36,Miami,FL,US,,Minneapolis,MN,US,,LTL Haz,,,,,1034,,,2024-03-12 10:16:00,,,,,,,lane,,1
37,Boise,ID,US,,Columbus,OH,,,Van,,,Construction Materials,,1459,14,Polaris Freight Group,2024-12-15 03:01:00,,,,,,2024-12-19,lane,,1
38,New Orleans,LA,US,,Charlotte,NC,,28201,Van,,42193,,,1511,,,2023-12-08 19:32:00,,,,NJ-NWK,,2023-12-10,lane,,1
39,Boise,ID,,83701,Reno,NV,,,Van,,,,171,1472,,,2023-09-09 06:44:00,2023-09-09 08:24:00,79,,,,,lane,,1
40,Long Beach,CA,,,Cincinnati,OH,US,,Van,,32368,,,1509,,,2024-03-14 23:09:00,,,,,,2024-03-17,lane,,0
41,Atlanta,GA,,,Buffalo,NY,US,14201,Van,,,,,2167,6,Sentinel Logistics,2024-11-30 09:14:00,,,,,,2024-12-02,lane,,1
42,St. Louis,MO,US,,Kansas City,MO,US,,Van,,,,,1727,,,2025-06-15 19:43:00,2025-06-15 23:38:00,169,,,,2025-06-23,lane,,0
43,Nashville,TN,US,,Birmingham,AL,US,35201,Van,,40939,,,1394,,,2023-12-09 15:06:00,2023-12-09 17:34:00,111,,,,2023-12-21,lane,,1
44,Salt Lake City,UT,,,Pittsburgh,PA,US,,Dump,,,,,3031,,,2023-05-17 23:49:00,,,,,,,lane,,1
45,Reno,NV,,,Seattle,WA,US,,Van,,,,,1431,,,2023-06-23 05:16:00,,,,,,,lane,,0
46,Boise,ID,,,Seattle,WA,US,,Van,,39970,Lumber,,2380,,,2021-07-26 17:07:00,,,,,,2021-08-06,quote,,1
47,Orlando,FL,US,32801,Milwaukee,WI,US,,Van,,,,,2106,,,2025-10-10 09:31:00,2025-10-10 10:33:00,247,,,,2025-10-17,lane,,0
48,Atlanta,GA,US,,Seattle,WA,US,98101,Van,,41092,,,1396,,,2025-10-19 11:06:00,,,,,,2025-10-30,lane,,0
49,Omaha,NE,US,68101,Cleveland,OH,,,Van,,15185,,,1399,,,2024-07-11 18:13:00,,,,,,2024-07-24,quote,,1
50,Memphis,TN,,,St. Louis,MO,US,63101,Van,,,,,1968,8,Northwind Trucking,2025-01-28 16:07:00,,,,TN-MEM,,2025-02-10,lane,,0
51,Louisville,KY,US,,Long Beach,CA,US,90802,Van,,,,,1953,,,2024-02-26 02:20:00,,,,,,2024-03-02,lane,,0
52,Boise,ID,US,,Cleveland,OH,US,,Van,,35481,,35,2097,5,Stellar Freight Solutions,2023-04-08 10:52:00,,,,,,2023-04-10,lane,,1
53,Boise,ID,US,,Denver,CO,,,Dump,,33850,,,2376,19,Anchor Bay Transport,2023-10-26 21:48:00,,,,CA-LB,,,lane,,0
54,Boise,ID,US,83701,Buffalo,NY,US,,Van,,35249,,,2558,6,Sentinel Logistics,2024-07-13 19:59:00,,,,,,2024-07-14,lane,,1
55,Denver,CO,,,Kansas City,MO,US,64101,Van,,20346,,,1389,,,2023-09-13 18:38:00,2023-09-13 18:53:00,59,,,,2023-09-23,lane,,1
56,Orlando,FL,US,,Atlanta,GA,US,,Van,,,,,1421,16,Coastline Carriers,2024-08-31 00:13:00,,,,CA-LB,,2024-09-03,lane,,1
57,Louisville,KY,US,40201,Memphis,TN,US,,Van,,41544,,,937,26,Old Glory Freight,2025-06-04 18:27:00,,,,,,2025-06-11,quote,,1
58,Orlando,FL,US,,Denver,CO,,,Van,,24679,Auto Parts,,1325,7,Cardinal Carriers,2022-12-12 16:40:00,2022-12-12 18:52:00,69,,,,,lane,,1
59,Omaha,NE,,68101,Buffalo,NY,,,Van,,,,,1533,15,Meridian Trucking,2024-10-01 04:28:00,2024-10-01 06:23:00,181,,TN-MEM,,2024-10-06,quote,,1
60,Atlanta,GA,US,,Cincinnati,OH,US,,Van,,20526,,,1808,8,Northwind Trucking,2023-09-09 15:32:00,2023-09-09 15:49:00,135,,,,2023-09-23,lane,,1
61,Dallas,TX,,75201,Denver,CO,,,Van,,,,163,1984,3,Beacon Transport,2024-07-15 12:18:00,,,,GA-ATL,,,lane,,1
